lanzepisode_name,name,date,role,party,message,genre,pub_platform
Markus Lanz vom 5. Oktober 2023,Roman Deininger,2023-10-05T00:00:00.000000,Journalist,,"Der ""SZ""-Redakteur gibt einen Ausblick auf die Wahlen in Hessen und Bayern und auf mögliche Regierungs- und Koalitionsbündnisse. Und er äußert sich zu CDU-Chef Merz.",Journalismus,Süddeutsche Zeitung
Markus Lanz vom 14. Juni 2023,Winfried Kretschmann,2023-06-14T00:00:00.000000,Politiker,B90G,"Der grüne Ministerpräsident Baden-Württembergs nimmt Stellung zur Einigung beim Heizungsgesetz, dem Zustand der Ampelkoalition und der EU-Asylreform.",Politik,
Markus Lanz vom 14. Juni 2023,Eva Quadbeck,2023-06-14T00:00:00.000000,Journalistin,,"Die Chefredakteurin vom ""RedaktionsNetzwerk Deutschland"" analysiert die Performance der Grünen als Teil der Bundesregierung. Zudem reflektiert sie das Wirken Kretschmanns.",Journalismus,RND
Markus Lanz vom 14. Juni 2023,Lamia Messari-Becker,2023-06-14T00:00:00.000000,Bauingenieurin,,"Sie äußert sich zur Umsetzbar- und Praxistauglichkeit des Gebäudeenergiegesetzes. Über den politischen Prozess sagt sie: ""Dieses Gesetz war eine kommunikative Panne.""",Sonstiges,
Markus Lanz vom 14. Juni 2023,Johannes Hano,2023-06-14T00:00:00.000000,Journalist,,Zugeschaltet aus New York informiert der Leiter des dortigen ZDF-Studios über Hintergründe zur Dokumenten-Affäre um den früheren US-Präsidenten Donald Trump.,Journalismus,ZDF
Markus Lanz vom 11. Juli 2023,Steffi Lemke,2023-07-11T00:00:00.000000,Politikerin,B90G,Die grüne Bundesumweltministerin nimmt Stellung zur zunehmenden Kritik an der Klima- und Energiepolitik der Bundesregierung sowie zu ihren umweltpolitischen Plänen.,Politik,
Markus Lanz vom 11. Juli 2023,Michael Bröcker,2023-07-11T00:00:00.000000,Journalist,,"Der ""The Pioneer""-Chefredakteur äußert sich zur Krise der Grünen und legt dar, wie die Partei diese überwinden könnte. Zudem spricht er über das Wirken Lemkes als Mitglied des Bundeskabinetts.",Journalismus,The Pioneer
Markus Lanz vom 11. Juli 2023,Sönke Neitzel,2023-07-11T00:00:00.000000,Militärexperte,,Er informiert über den in Vilnius laufenden NATO-Gipfel sowie über Hintergründe und Folgen des geplanten schwedischen Beitritts in das europäisch-amerikanische Verteidigungsbündnis.,Militär,
Markus Lanz vom 11. Juli 2023,Irina Scherbakowa,2023-07-11T00:00:00.000000,Bürgerrechtlerin,,"Die Mitbegründerin der russischen Menschenrechtsorganisation ""Memorial"" zeichnet ein aktuelles Stimmungsbild Russlands. Auch zur NATO-Perspektive der Ukraine äußert sie sich.",Aktivismus,
Markus Lanz vom 7. September 2022,Neven Subotić,2022-09-07T00:00:00.000000,Ex-Fußballprofi,,"Der frühere BVB-Star spricht über seine Stiftungsarbeit in Ostafrika, wo er sich gegen Wasserarmut einsetzt. Zudem äußert er sich kritisch zur fortschreitenden Kommerzialisierung des Fußballs.",Sonstiges,
Markus Lanz vom 7. September 2022,Gordon Repinski,2022-09-07T00:00:00.000000,Journalist,,"Der stellvertretende Chefredakteur von ""The Pioneer"" analysiert das Zusammenwirken der Ampelkoalitionäre und äußert sich zu den Herausforderungen der Entwicklungspolitik.",Journalismus,The Pioneer
Markus Lanz vom 20. Dezember 2023,Klara Geywitz,2023-12-20T00:00:00.000000,Politikerin,SPD,"Die Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen äußert sich zur angespannten Lage auf dem Wohnungsmarkt, der Krise des Bausektors und der Förderung des seriellen Bauens.",Politik,
Markus Lanz vom 20. Dezember 2023,Roman Pletter,2023-12-20T00:00:00.000000,Journalist,,"Der Leiter des ""Zeit""-Wirtschaftsressorts sagt, die Bundesregierung gebe kaum einlösbare Versprechen und beschädige damit massiv das Vertrauen in die Politik insgesamt.",Journalismus,Zeit
Markus Lanz vom 20. Dezember 2023,Jan-Hendrik Goldbeck,2023-12-20T00:00:00.000000,Unternehmer,,"Der geschäftsführende Gesellschafter eines Bau- und Immobilienunternehmens erklärt, wie sich durch serielles Bauen schnell bezahlbarer Wohnraum schaffen ließe.",Ökonomie,
Markus Lanz vom 20. Dezember 2023,Matthias Bernt,2023-12-20T00:00:00.000000,Politologe,,"Der Leiter der Forschungsgruppe ""Stadtentwicklungspolitik"" am Leibniz-Institut für Raumbezogene Sozialforschung analysiert die Ursachen der Wohnungs- und Baukrise.",Wissenschaft,
Markus Lanz vom 15. März 2023,Dr. Melanie Müller,2023-03-15T00:00:00.000000,Politologin,,"Die Afrika-Expertin legt dar, wie und mit welcher geostrategischen und wirtschaftlichen Motivation die USA, China, Russland und die EU zunehmend um die Gunst der afrikanischen Länder werben.",Wissenschaft,
Markus Lanz vom 15. März 2023,Joe Chialo,2023-03-15T00:00:00.000000,Politiker,CDU,"Der CDU-Politiker mit tansanischen Wurzel äußert sich zur deutschen Entwicklungshilfe und den Zukunftsperspektiven Afrikas. ""Nicht Afrika braucht Europa – Europa braucht Afrika"", meint er.",Politik,
Markus Lanz vom 25. Mai 2023,Prof. Mojib Latif,2023-05-25T00:00:00.000000,Klimaforscher,,Mit Blick auf die weltweite Zunahme von Wetterextremen äußert er sich zu den neuesten wissenschaftlichen Erkenntnissen zu den Ursachen und Folgen des Klimawandels.,Wissenschaft,
Markus Lanz vom 25. Mai 2023,Steffen Kotré,2023-05-25T00:00:00.000000,Politiker,AfD,Der energiepolitische Sprecher der AfD-Fraktion nimmt Stellung zur Russlandhaltung seiner Partei. Zudem erläutert er seine Zweifel am menschlichen Einfluss auf die Klimaveränderung.,Politik,
Markus Lanz vom 25. Mai 2023,Melanie Amann,2023-05-25T00:00:00.000000,Journalistin,,"Die ""SPIEGEL""-Redakteurin analysiert die energiepolitischen Konzepte sowie die Rhetorik der AfD.",Journalismus,Spiegel
Markus Lanz vom 10. Oktober 2023,Kevin Kühnert,2023-10-10T00:00:00.000000,SPD-Generalsekretär,SPD,"Der Sozialdemokrat äußert sich zum aufflammenden Nahost-Konflikt, dem Umgang mit Hamas- und Hisbollah-Unterstützern in Deutschland und den Lehren aus dem SPD-Wahldebakel in Hessen und Bayern.",Politik,
Markus Lanz vom 10. Oktober 2023,Carsten Linnemann,2023-10-10T00:00:00.000000,CDU-Generalsekretär,CDU,"Er nimmt Stellung zur Debatte um EU-Entwicklungshilfen an Palästinensergebiete und zum Unions-Angebot an die Ampel-Regierung, in der Migrationspolitik zusammenzuarbeiten.",Politik,
Markus Lanz vom 10. Oktober 2023,Eva Quadbeck,2023-10-10T00:00:00.000000,Journalistin,,"Die Chefredakteurin vom ""RedaktionsNetzwerk Deutschland"" spricht über die bundespolitischen Folgen der Landtagswahlen vom Wochenende sowie über die deutsch-israelischen Beziehungen.",Journalismus,RND
Markus Lanz vom 10. Oktober 2023,Melody Sucharewicz,2023-10-10T00:00:00.000000,Soziologin,,"1999 wanderte sie nach Israel aus. Zugeschaltet aus Tel Aviv informiert sie über die Lage: ""Es ist nicht übertrieben zu sagen, dies sei unser 11. September, es ist die lebende Hölle"".",Soziales,
Markus Lanz vom 10. Oktober 2023,Carlo Masala,2023-10-10T00:00:00.000000,Politologe,,Nach dem Hamas-Angriff bereitet Israel offenbar eine Großoffensive vor. Der Militär-Experte skizziert mögliche Kriegsstrategien und erklärt zudem die Strukturen innerhalb der Hamas.,Wissenschaft,
Markus Lanz vom 13. Dezember 2022,Lars Klingbeil,2022-12-13T00:00:00.000000,Politiker,SPD,Der SPD-Chef äußert sich zu den Korruptionsvorwürfen gegen die sozialdemokratische Vizepräsidentin des EU-Parlaments Eva Kaili sowie zur Krisen- und Sozialpolitik der Ampelkoalition.,Politik,
Markus Lanz vom 13. Dezember 2022,Helene Bubrowski,2022-12-13T00:00:00.000000,Journalistin,,"Die ""FAZ""-Redakteurin spricht über den politischen Schaden der Brüsseler Bestechungsaffäre. Mit Blick auf die Reichsbürger-Razzia analysiert sie zudem die Politik der Inneren Sicherheit.   ",Journalismus,FAZ
Markus Lanz vom 13. Dezember 2022,Tobias Ginsburg,2022-12-13T00:00:00.000000,Autor,,"Für ein Buchprojekt tauchte er inkognito in die Szene der Reichsbürger ein. Er erläutert die Strukturen und Motive der Bewegung sowie die Gefahren, die von ihr ausgehen. ",Literatur,
Markus Lanz vom 4. Juli 2024,Michael Wolffsohn,2024-07-04T00:00:00.000000,Historiker,,Der in Tel Aviv geborene Publizist blickt auf die verschiedenen Formen des Antisemitismus in Deutschland und weltweit.,Geschichte,
Markus Lanz vom 13. Dezember 2022,Wolfgang Merkel,2022-12-13T00:00:00.000000,Politologe,,"Der Demokratieforscher spricht über die vielfältigen Ursachen schwindenden Vertrauens in den Rechtsstaat. Er sagt: ""Statistisch gesehen nimmt die demokratische Qualität jedes Jahr ab.""",Wissenschaft,
Markus Lanz vom 31. Mai 2023,Sigmar Gabriel,2023-05-31T00:00:00.000000,Politiker,SPD,"Der Ex-Vizekanzler (SPD) nimmt Stellung zur Rolle seiner Partei im Streit ums Gebäudeenergiegesetz, dem Führungsstil von Kanzler Scholz sowie zur Wiederwahl Erdoğans und zur Nahost-Politik.",Politik,
Markus Lanz vom 31. Mai 2023,Kristina Dunz,2023-05-31T00:00:00.000000,Journalistin,,"""Wir sind in einer Regierungskrise"", sagt die Politikexpertin vom ""RedaktionsNetzwerk Deutschland"". Sie analysiert die kommunikativen und strategischen Versäumnisse der Ampelkoalition.",Journalismus,RND
Markus Lanz vom 31. Mai 2023,Kamran Safiarian,2023-05-31T00:00:00.000000,Journalist,,"Der ""heute journal""-Redakteur spricht über die Menschenrechtslage und Protestbewegung im Iran. Zudem erläutert er, wie weit der Arm des iranischen Geheimdienstes nach Deutschland reicht.",Journalismus,ZDF
Markus Lanz vom 31. Mai 2023,Erfan Ramizipour,2023-05-31T00:00:00.000000,iran. Oppositioneller,,Bei einer Demonstration gegen das Mullah-Regime im iranischen Bandar Abbas wurde er durch Schüsse der Miliz schwer verletzt. Er erzählt seine Überlebens- und Fluchtgeschichte.,Sonstiges,
Markus Lanz vom 5. Mai 2022,Hubertus Heil,2022-05-05T00:00:00.000000,Politiker,SPD,"Der Bundesarbeitsminister (SPD) äußert sich zu den Waffenlieferungen an die Ukraine, dem Agieren von Kanzler Scholz und zur Debatte um Energie-Embargos gegen Russland.",Politik,
Markus Lanz vom 5. Mai 2022,Golineh Atai,2022-05-05T00:00:00.000000,Journalistin,,Die Russlandexpertin spricht über den gesellschaftlichen und politischen Wandel der ehemaligen Sowjetunion unter der Präsidentschaft Putins.,Journalismus,
Markus Lanz vom 5. Mai 2022,Wolfgang Merkel,2022-05-05T00:00:00.000000,Politologe,,"Er gehört zu den Unterzeichnern eines von Alice Schwarzer initiierten offenen Briefes an Olaf Scholz, als Protest gegen den Kurs der Bundesregierung während des Ukraine-Krieges.",Wissenschaft,
Markus Lanz vom 5. Mai 2022,Matthias Horx,2022-05-05T00:00:00.000000,Zukunftsforscher,,"Für die Zeit nach dem Krieg in Osteuropa hat er ein Gedankenspiel entwickelt und skizziert verschiedene Zukunftsszenarien für die Ukraine, Russland und die europäische Friedensordnung.",Wissenschaft,
Markus Lanz vom 21. Juni 2023,Jürgen Trittin,2023-06-21T00:00:00.000000,Politiker,B90G,Der grüne Außenpolitiker nimmt Stellung zum Verhältnis Deutschlands zu China und den USA. Zudem spricht er über die Grünen im Spannungsfeld zwischen Pragmatismus und Parteigrundsätzen.,Politik,
Markus Lanz vom 21. Juni 2023,Kerstin Münstermann,2023-06-21T00:00:00.000000,Journalistin,,"Die Leiterin des ""Rheinische Post""-Parlamentsbüros analysiert die Lage der Grünen nach deren Länderrat und den hitzigen Debatten um den EU-Asylkompromiss und das Gebäudeenergiegesetz.",Journalismus,Rheinische Post
Markus Lanz vom 21. Juni 2023,Elmar Theveßen,2023-06-21T00:00:00.000000,Journalist,,Der ZDF-Washington-Korrespondent resümiert den Besuch des US-Außenministers Blinken in China. Zudem spricht er über das Rennen um die Präsidentschaftskandidatur bei den Republikanern.,Journalismus,ZDF
Markus Lanz vom 21. Juni 2023,Mikko Huotari,2023-06-21T00:00:00.000000,Politologe,,"Der Direktor des ""Mercator Institute for China Studies"" bilanziert die deutsch-chinesischen Regierungskonsultationen und äußert sich zur Geostrategie der asiatischen Volksrepublik.",Wissenschaft,
Markus Lanz vom 23. November 2023,Hubert Aiwanger,2023-11-23T00:00:00.000000,Politiker,Freie Wähler,"Der stellvertretende Ministerpräsident und Wirtschaftsminister von Bayern äußert sich zur Migrations- und Energiepolitik und zum Erfolg seiner ""Freien Wähler"" bei der letzten Bayernwahl.",Politik,
Markus Lanz vom 23. November 2023,Michael Bröcker,2023-11-23T00:00:00.000000,Journalist,,"Der Chefredakteur von ""The Pioneer"" analysiert die Finanz- und Wirtschaftspolitik der Ampelkoalition. Zudem spricht er über die bundespolitischen Ambitionen Aiwangers.",Journalismus,The Pioneer
Markus Lanz vom 23. November 2023,Roman Deininger,2023-11-23T00:00:00.000000,Journalist,,"Der ""SZ""-Chefreporter war an den Recherchen zur Flugblatt-Affäre um Hubert Aiwanger beteiligt. Er spricht über die Folgen der Causa.  ",Journalismus,Süddeutsche Zeitung
Markus Lanz vom 23. November 2023,Güner Balci,2023-11-23T00:00:00.000000,Sozialarbeiterin,,Seit 2020 ist sie Integrationsbeauftragte von Berlin-Neukölln. Sie schildert die dortige Stimmungslage unter der arabischsprachigen Bevölkerung seit Beginn des Krieges in Gaza.,Soziales,
Markus Lanz vom 13. Juni 2023,Konstantin Kuhle,2023-06-13T00:00:00.000000,Politiker,FDP,Der FDP-Fraktionsvize nimmt Stellung zum Ampel-Streit um das Gebäudeenergiegesetz sowie zur haushalts- und migrationspolitischen Haltung seiner Partei.,Politik,
Markus Lanz vom 13. Juni 2023,Veit Medick,2023-06-13T00:00:00.000000,Journalist,,"Der Leiter des ""Stern""-Politik-Ressorts analysiert die Rolle und das Wirken der FDP als Teil der Bundesregierung sowie die Auswirkungen des EU-Asyl-Beschlusses auf Deutschland.",Journalismus,Stern
Markus Lanz vom 13. Juni 2023,Maren Urner,2023-06-13T00:00:00.000000,Neurowissenschaftlerin,,"Mit Blick auf die politisch und medial aufgeregt geführte Diskussion um die Heizungswende, spricht sie über den Wandel der Debattenkultur und den Umgang der Medien mit Streitthemen.",Wissenschaft,
Markus Lanz vom 13. Juni 2023,Carlo Masala,2023-06-13T00:00:00.000000,Militärexperte,,"Er informiert über die neueste Entwicklung des Russland-Ukraine-Krieges sowie über Hintergründe des ""Air Defender""-Manövers, der größten Luftwaffenübung seit Bestehen der NATO.",Militär,
Markus Lanz vom 12. Dezember 2023,Roderich Kiesewetter,2023-12-12T00:00:00.000000,CDU-Politiker,CDU,Der Oberst a.D. spricht über die Entwicklung der Krisenherde in der Ukraine und in Nahost sowie über die Debatte um die Verhältnismäßigkeit des israelischen Vorgehens in Gaza.,Politik,
Markus Lanz vom 12. Dezember 2023,Kerstin Münstermann,2023-12-12T00:00:00.000000,Journalistin,,"Die Politikexpertin der ""Rheinischen Post"" äußert sich zum Entwurf für das neue CDU-Grundsatzprogramm. Zudem analysiert sie den Umgang Berlins mit Kiew und Tel Aviv.",Journalismus,Rheinische Post
Markus Lanz vom 12. Dezember 2023,Tankred Stöbe,2023-12-12T00:00:00.000000,Mediziner,,"Seit über 20 Jahren engagiert er sich für die Hilfsorganisation ""Ärzte ohne Grenzen"". Er informiert über die humanitäre Lage in Gaza und im Kriegsgebiet der Ukraine.",Gesundheit,
Markus Lanz vom 12. Dezember 2023,Michael Thumann,2023-12-12T00:00:00.000000,Journalist,,"Der Moskaukorrespondent der ""ZEIT"" erläutert, wie es Putin aktuell gelingt, seine Machtbasis zu stabilisieren, und wie dieser sich für die Präsidentschaftswahl 2024 in Stellung bringt.",Journalismus,Zeit
Markus Lanz vom 2. Mai 2023,Markus Söder,2023-05-02T00:00:00.000000,Politiker,CSU,"Der Bayerische Ministerpräsident (CSU) nimmt Stellung zu seiner Kritik an der endgültigen AKW-Abschaltung, seiner Industrie- und Standortpolitik und zur Debatte um die Erbschaftssteuer.",Politik,
Markus Lanz vom 19. Dezember 2023,Linus Neumann,2023-12-19T00:00:00.000000,IT-Experte,,"Der Sprecher des ""Chaos Computer Club"" erläutert, welche Chancen und Risiken die rasante Entwicklung im Bereich künstliche Intelligenz birgt.",Sonstiges,
Markus Lanz vom 2. Mai 2023,Kristina Dunz,2023-05-02T00:00:00.000000,Journalistin,,"Die Politikexpertin vom ""RedaktionsNetzwerk Deutschland"" analysiert den energie-, umwelt- und wirtschaftspolitischen Kurs Söders sowie dessen Regierungs- und Kommunikationsstil.",Journalismus,RND
Markus Lanz vom 2. Mai 2023,Marcel Fratzscher,2023-05-02T00:00:00.000000,Ökonom,,Der Präsident des Deutschen Instituts für Wirtschaftsforschung äußert sich zur Energiepreisentwicklung als Folge des Atomausstiegs und zur Gefahr einer Deindustrialisierung Deutschlands.,Ökonomie,
Markus Lanz vom 30. Juni 2022,Janine Wissler,2022-06-30T00:00:00.000000,Politikerin,LINKE,Die am Wochenende wiedergewählte Co-Vorsitzende der Linkspartei nimmt Stellung zum Krieg in Osteuropa und zur Haltung ihrer Partei zu Russland und der NATO.,Politik,
Markus Lanz vom 30. Juni 2022,Gerhart Baum,2022-06-30T00:00:00.000000,Politiker,FDP,Der Ex-Bundesinnenminister (FDP) äußert sich zu den geostrategischen sowie völker- und menschenrechtlichen Folgen des Überfalls Russlands auf die Ukraine. ,Politik,
Markus Lanz vom 30. Juni 2022,Marina Kormbaki,2022-06-30T00:00:00.000000,Journalistin,,"Die Politikexpertin (""The Pioneer"") analysiert die deutsche Außen- und Sicherheitspolitik. Zudem äußert sie sich zu Auftritt und Aufstellung der Linkspartei.  ",Journalismus,The Pioneer
Markus Lanz vom 30. Juni 2022,Prof. Karl Schlögel,2022-06-30T00:00:00.000000,Historiker,,"Der Osteuropahistoriker blickt zurück auf die Staatenbildung Russlands und der Ukraine, und er erläutert, warum das Verhältnis beider Länder so konfliktreich ist. ",Geschichte,
Markus Lanz vom 7. November 2023,Omid Nouripour,2023-11-07T00:00:00.000000,Politiker,B90G,"Der Grünen-Chef nimmt Stellung zu den Beschlüssen des Migrationsgipfels und deren Umsetzbarkeit. ""Es gibt jetzt mehr Planungssicherheit und deutlich mehr Geld für die Kommunen"", sagt er.",Politik,
Markus Lanz vom 7. November 2023,Kerstin Münstermann,2023-11-07T00:00:00.000000,Journalistin,,"Die Leiterin des Parlamentsbüros der ""Rheinischen Post"" analysiert das Ringen der Bundesregierung und der Länderchefs um die weitere Asyl- und Migrationspolitik.",Journalismus,Rheinische Post
Markus Lanz vom 7. November 2023,Eren Güvercin,2023-11-07T00:00:00.000000,Islam-Experte,,"Er informiert über Hintergründe zu der pro-palästinensischen Großdemonstration in Essen, bei der Protestler auch die Errichtung eines islamistischen Kalifats in Deutschland forderten.",International,
